Unnamed: 0,ID,Dataset,CH,F,AMP,CHIRP,COUPL_ANGLE,COUPL_MAG,COUPL_OVERLAP,COUPL_PV,DENS,DISPERSION,DISPERSION_P,DUR,FFT,FRQ,FWHM,ISA_M,ISA_S,ISA_T,MINS,N,N01,N02,NE,NOSC,Q,SYMM,SYMM2,SO,SO_AMP,SO_DUR,SO_NEG_DUR,SO_P2P,SO_POS_DUR,SO_RATE,SO_SLOPE_NEG1,SO_SLOPE_NEG2,SO_SLOPE_POS1,SO_SLOPE_POS2,SO_TH_NEG,SO_TH_P2P
1,SSC_4704_1,ApoE,C3-A2,13.5,29.419129117757333,-0.014533314799459747,299.96730858275106,0.2374806589163589,179,4.128239825056877e-05,2.508083140877598,1.2774537889639102,0.0004629147733561557,0.80410480072375,13.205801104972375,12.909752854875984,0.4755553637200737,773.2120867566155,308.288060373494,167400.41678280724,216.5,543,609,585,433,10.39963167587477,0.6467445318693636,0.5182536651936541,0.2668979161853741,5325,-35.78721827590249,0.7596581572769953,0.3904951584507042,63.588344759458245,0.36916299882629106,24.59584295612009,-242.87871702636207,240.97752089150757,1543.7913993250886,-181.52986845687377,-17.35510348394163,35.98575984671959
2,SSC_4704_1,ApoE,C4-A1,13.5,30.347887621813623,-0.01331126273183922,312.14801925421284,0.23330970764749062,259,7.537118545239265e-07,2.979214780600462,1.4392980189491817,3.107218328687671e-08,0.8403464157286744,13.258527131782946,12.99469039508527,0.48224321705426354,965.1512156511087,323.9616095945194,208955.23818846504,216.5,645,709,686,433,10.932558139534883,0.6369147235683379,0.5231360296188154,0.282231163453466,5195,-35.40951667218508,0.8227201636188642,0.434098291626564,63.17807689170323,0.3886218719923003,23.99538106235566,-233.7771432914357,230.89372434819305,4204.420264937208,-177.22443190481016,-17.22579499827362,35.60327939287117
3,SSC_4704_1,ApoE,F1-A2,13.5,19.49672672361986,-0.009999267060279265,320.87667292433383,0.22345849363663212,140,0.000920385666569325,1.4041570438799076,1.2152016325536021,0.005856978360067969,0.8364000832368371,13.090049342105264,12.800387533886859,0.4477282072368421,429.6047501487707,305.95206712897647,93009.42840720885,216.5,304,404,368,433,10.743421052631579,0.5091242541610385,0.5065752037957402,0.3156927799524154,5489,-35.13357866455961,0.9031963073875022,0.45080217252687194,61.85533629977794,0.45239413486063035,25.35334872979215,-202.69362441154385,208.20142180474394,979.168108451761,-139.08541334179083,-15.319401233107552,30.751218152271523
4,SSC_4704_1,ApoE,Fz-A2,13.5,26.879329839014154,-0.017003598271600417,305.9178440852062,0.24260193988982554,173,3.784406800175729e-05,2.184757505773672,1.229700101793126,0.18791768280194526,0.8148701780613041,13.000528541226215,12.747388456457248,0.46397661205074,685.4043877418261,313.72103582686117,148390.04994610534,216.5,473,547,516,433,10.405919661733614,0.5664581823263035,0.5340051948315938,0.30261351616032783,5429,-38.32082476930981,0.8061128603333947,0.4098741998986922,68.23740294123674,0.3962386604347025,25.07621247113164,-244.89200424381264,250.92638341559757,207.33551756677912,-178.87274795561905,-17.59654901025312,36.15172866757237
5,SSC_4704_1,ApoE,O1-x,13.5,23.479503980089785,-0.005566950230989973,38.42574989400333,0.05350634332136481,193,0.5754831939907236,2.4803695150115472,1.4167183943720303,1.992832815711428e-06,0.8497948683184284,13.293761638733706,13.054980270156156,0.5213061568901304,780.159307487238,314.53350106329054,168904.49007098703,216.5,537,587,574,433,11.105214152700187,0.6051748318504179,0.5068427180093217,0.2803396030422544,4792,-33.073610508710345,0.9538309291527546,0.530209854966611,59.51672415573056,0.4236210741861436,22.13394919168591,-192.09128610509657,187.91313709635043,4151.01432421283,-152.5027520088219,-16.603092600104496,34.52157603048872
6,SSC_4704_1,ApoE,O2-x,13.5,18.981122949662204,-0.006635660296856696,288.1188707445751,0.09005146906203552,158,0.2776860281517283,2.6882217090069283,1.3945049000890934,3.0067889587468276e-05,0.8670129949862467,13.331185567010309,13.086421344927123,0.5291156572164949,860.067264510012,319.9391112825045,186204.5627664176,216.5,582,632,615,433,11.349656357388316,0.6346855781950588,0.5054315611567335,0.2768646602144282,4897,-25.207371587740692,0.7965886320706556,0.41455706299775374,44.93522241643908,0.38203156907290176,22.618937644341802,-166.8725161940344,163.37843142505042,18711.178307384984,-129.00342507246225,-13.418815231849997,27.660234583150398
1,STNF00104_1,STAGES,C3-M2,13.5,40.89722922455512,-0.024705131658605696,267.47255687854147,0.1083456840856064,62,0.48296803380472736,2.55045871559633,2.4377831068478564,6.029975124998399e-11,0.9412376358920874,13.589928057553957,13.468689607076328,0.5090209082733813,1956.3554470024399,767.0602292203811,106621.37186163297,54.5,139,168,151,109,12.694244604316546,0.7653174494067522,0.4667740838792338,0.29720057096526015,1145,-36.53436632199229,0.8481901610262009,0.4523028111353712,63.86996353385063,0.3958873498908297,21.009174311926607,-221.56343688869657,236.9864465202091,204.13658066669015,-169.54967799691943,-16.034483302220536,33.82449960859892
2,STNF00104_1,STAGES,C4-M1,13.5,43.878700395962795,-0.024082774713360892,141.0784160844962,0.07092423081980737,63,0.7283995633488499,2.330275229357798,2.408136482939631,4.4194343626499955e-12,1.0542415118267725,13.645669291338583,13.497734408484089,0.5037217027559056,2167.250662573691,930.0406386635132,118115.16111026617,54.5,127,173,148,109,14.248031496062993,0.7101689008477734,0.4801665618978141,0.3128960719528943,1276,-34.86025623984611,0.7467305054858934,0.39577567838949845,60.97015302375305,0.350954827096395,23.412844036697248,-233.1932620260471,246.6408121212192,213.55624957690125,-176.29401092308444,-16.027339484822114,33.95561063563449
3,STNF00104_1,STAGES,F3-M2,13.5,39.55096284167724,-0.024858400405782924,330.98318715551596,0.08130541099033839,73,0.6171941730316035,2.7339449541284404,2.63708675118071,1.9983138946569866e-13,1.001992450664429,13.369127516778523,13.242527687480605,0.5701683095637584,2294.915261913693,839.4153139214515,125072.88177429627,54.5,149,172,160,109,13.25503355704698,0.6871675344724886,0.4921740291095646,0.32606440238771683,1080,-44.3826582747967,1.0236418547453703,0.565283203125,75.84523048673485,0.45835865162037037,19.81651376146789,-230.2904022689968,238.601114373519,215.21358914833428,-166.47835854247822,-16.449689563630333,35.94578449368207
4,STNF00104_1,STAGES,F4-M1,13.5,40.144982547463066,-0.02921113174591913,242.78455189348458,0.16551997539770721,82,0.10576425141692168,2.5871559633027523,2.2662201208300505,8.920653478724957e-15,1.0514599965673759,13.427304964539006,13.325439505321752,0.5736923758865248,2342.8368296049784,905.5645901664633,127684.60721347132,54.5,141,176,157,109,14.00709219858156,0.6516336814977838,0.4582910170484707,0.3511929676354652,1180,-40.944455245142215,0.9857057733050848,0.5497384798728814,69.21109242970017,0.43596729343220336,21.65137614678899,-220.26232843567527,222.5076799579166,194.75705806318211,-157.68815719983954,-15.468402661092831,33.61020865684422
5,STNF00104_1,STAGES,O1-M2,13.5,39.79909020763514,-0.007795405937337763,82.63243679697405,0.19719122767665156,48,0.154671733991284,1.926605504587156,1.9978835978835996,0.0003313280997861734,1.1192894355238112,14.073809523809524,13.980904821761198,0.5291666666666667,1713.8156525684221,889.551933952181,93402.95306497901,54.5,105,141,117,109,15.695238095238095,0.7075615744054112,0.4785850860466812,0.3395143653257728,1157,-30.721569510042187,0.7847882454624028,0.42182942145635266,54.23776588877207,0.3629588240060501,21.229357798165136,-200.64941060505075,205.9464583467358,2688.6899245392324,-159.096462595697,-15.071051674220712,31.205535311065194
6,STNF00104_1,STAGES,O2-M1,13.5,35.36729026282715,-0.0053598595728518795,289.95780508129025,0.23764463214717318,45,0.07875813512190954,1.724770642201835,1.7923561859732051,3.7912512527633546e-05,0.9511303201489368,13.944148936170214,13.759077789704708,0.5186377992021277,1271.023828869006,736.9233901421364,69270.79867336083,54.5,94,130,109,109,13.159574468085106,0.717451612730188,0.5032752636347652,0.33243304265795215,1311,-27.51709495746891,0.702016590389016,0.36751823512585813,48.66892593607282,0.3344983552631579,24.05504587155963,-197.82020341218671,202.52973741440658,181.58639747016775,-156.02163628234814,-14.66986371137622,29.714016661078
1,A0001_4_165907,WSC,C3-x,13.5,15.9246418015344,-0.012207933346794016,241.33593255977203,0.34988573548275353,151,9.373078819216073e-09,2.278688524590164,1.8392448259051812,4.855668959544039e-17,0.8315827348129496,12.797008486960431,12.242792658210561,0.484442446043165,313.046376054081,137.3800643115032,76383.31575719577,244.0,556,612,583,488,10.241007194244604,0.7536065544153345,0.4930879684188084,0.2585174250837484,5366,-19.54203414496008,0.6969418561311994,0.36059448378681064,35.03895924592321,0.33634737234439477,21.991803278688526,-145.75508696448762,136.79291286405265,106378.17742885568,-106.05456370705195,-11.34265812032124,23.17628449982947
