,coef
theta_bandpower_kurtosis_C_N2,-3.744438781807309
alpha_bandpower_kurtosis_C_N2,-3.1845094671039282
kurtosis_N2_C,-0.0522327876337815
delta_theta_mean_C_N3,1.3862066290295623
delta_alpha_mean_C_N3,-1.3485014347395534
delta_bandpower_mean_C_N3,-2.620558181111738
theta_bandpower_kurtosis_C_N3,0.15728176698657031
delta_bandpower_kurtosis_C_N2,-1.868672153370003
kurtosis_N3_C,-1.2475374894488704
COUPL_OVERLAP_C,-0.8046781757620637
DENS_C,-1.6653464503199618
sigma_bandpower_kurtosis_C_N2,1.2479003681970666
alpha_bandpower_mean_C_N1,2.2910798782822255
